OrderID,OrderDate,Region,Category,UnitsSold,UnitPrice,PaymentMethod,CustomerAge,Revenue,Month,Quarter
1001,2024-01-01 00:00:00.000000,South,Electronics,11.0,163.77,Credit Card,31.0,1801.47,January,2024Q1
1002,2024-01-01 17:33:18.396793,Unknown,Electronics,26.0,363.59,Credit Card,47.0,9453.34,January,2024Q1
1003,2024-01-02 11:06:36.793587,North,Electronics,2.0,374.19,Debit Card,58.0,748.38,January,2024Q1
1004,2024-01-03 04:39:55.190380,West,Toys,3.0,104.18,Online,21.0,312.54,January,2024Q1
1005,2024-01-03 22:13:13.587174,North,Furniture,23.0,434.72,Debit Card,21.0,9998.56,January,2024Q1
1006,2024-01-04 15:46:31.983967,North,Toys,12.0,358.89,Debit Card,45.0,4306.68,January,2024Q1
1007,2024-01-05 09:19:50.380761,North,Furniture,20.0,283.56,Cash,25.0,5671.2,January,2024Q1
1008,2024-01-06 02:53:08.777555,South,Toys,5.0,238.41,Debit Card,19.0,1192.05,January,2024Q1
1009,2024-01-06 20:26:27.174348,West,Toys,37.0,273.9,Cash,45.0,10134.3,January,2024Q1
1010,2024-01-07 13:59:45.571142,North,Grocery,38.0,83.83,Cash,63.0,3185.54,January,2024Q1
1011,2024-01-08 07:33:03.967935,North,Toys,30.0,105.83,Cash,39.0,3174.9,January,2024Q1
1012,2024-01-09 01:06:22.364729,Unknown,Clothing,9.0,50.13,Credit Card,58.0,451.17,January,2024Q1
1013,2024-01-09 18:39:40.761523,South,Grocery,34.0,81.06,Cash,33.0,2756.04,January,2024Q1
1014,2024-01-10 12:12:59.158316,South,Toys,44.0,229.58,Unknown,46.0,10101.52,January,2024Q1
1015,2024-01-11 05:46:17.555110,North,Electronics,35.0,267.53,Credit Card,66.0,9363.55,January,2024Q1
1016,2024-01-11 23:19:35.951903,North,Clothing,22.0,13.84,Credit Card,65.0,304.48,January,2024Q1
1017,2024-01-12 16:52:54.348697,South,Clothing,44.0,399.41,Cash,47.0,17574.04,January,2024Q1
1018,2024-01-13 10:26:12.745490,East,Clothing,24.0,150.61,Debit Card,29.0,3614.64,January,2024Q1
1019,2024-01-14 03:59:31.142284,East,Grocery,17.0,456.36,Debit Card,52.0,7758.12,January,2024Q1
1020,2024-01-14 21:32:49.539078,South,Toys,10.0,483.92,Debit Card,28.0,4839.2,January,2024Q1
1021,2024-01-15 15:06:07.935871,West,Toys,30.0,96.8,Credit Card,63.0,2904.0,January,2024Q1
