CustomerID,Age,Tenure_Months,MonthlyCharges,Contract,InternetService,TechSupport,PaymentMethod,NumSupportCalls,Churn
CUST1000,52.0,52,105.57,Month-to-Month,Fiber Optic,No,Mailed Check,3,1
CUST1001,43.0,15,103.02,Two Year,Fiber Optic,No,Electronic Check,1,1
CUST1002,74.0,61,59.72,Month-to-Month,Fiber Optic,No,Electronic Check,1,0
CUST1003,56.0,21,71.375,One Year,DSL,No,Credit Card,1,0
CUST1004,66.0,24,40.5,One Year,No,No,Bank Transfer,3,1
CUST1005,68.0,3,49.31,One Year,Fiber Optic,Yes,Electronic Check,3,0
CUST1006,35.0,22,109.63,Month-to-Month,DSL,No,Mailed Check,2,1
CUST1007,50.0,53,21.3,Month-to-Month,Fiber Optic,No,Electronic Check,1,0
CUST1008,42.0,2,28.55,One Year,DSL,No,Electronic Check,0,0
CUST1009,73.0,30,40.79,One Year,DSL,No,Credit Card,1,0
CUST1010,48.0,38,22.65,Month-to-Month,Fiber Optic,Yes,Credit Card,1,0
CUST1011,54.0,2,38.14,One Year,DSL,No,Mailed Check,1,0
CUST1012,19.0,64,78.3,Month-to-Month,Fiber Optic,Yes,Credit Card,2,1
CUST1013,50.0,60,62.14,One Year,Fiber Optic,No,Electronic Check,3,0
CUST1014,56.0,21,109.27,Month-to-Month,DSL,No,Electronic Check,3,1
CUST1015,60.0,33,101.74,Two Year,No,No,Credit Card,1,1
CUST1016,60.0,58,54.18,Month-to-Month,DSL,Yes,Electronic Check,2,0
CUST1017,49.0,22,45.94,Month-to-Month,DSL,No,Electronic Check,1,1
CUST1018,35.0,49,57.97,Month-to-Month,DSL,Yes,Mailed Check,2,0
CUST1019,34.0,59,79.03,Month-to-Month,DSL,Yes,Credit Card,0,0
CUST1020,51.0,42,46.81,Two Year,DSL,Yes,Electronic Check,1,0
CUST1021,56.0,60,82.41,Two Year,Fiber Optic,Yes,Credit Card,0,0
CUST1022,46.0,15,60.94,Month-to-Month,No,No,Mailed Check,1,1
CUST1023,59.0,62,75.2,Month-to-Month,DSL,No,Credit Card,1,1
CUST1024,71.0,62,71.375,One Year,Fiber Optic,Yes,Electronic Check,1,0
CUST1025,70.0,47,49.45,Two Year,Fiber Optic,No,Credit Card,0,1
CUST1026,52.0,62,114.85,One Year,No,Yes,Electronic Check,2,0
CUST1027,47.0,51,96.36,Month-to-Month,Fiber Optic,No,Electronic Check,1,1
