CustomerID,Age,Tenure_Months,Contract,InternetService,TechSupport,PaymentMethod,MonthlyCharges,TotalCharges,Churn
CUST1000,45,48,One Year,Fiber Optic,No,Bank Transfer,53.71,2575.67,0
CUST1001,20,69,Month-to-Month,Fiber Optic,No,Credit Card,84.18,5848.11,0
CUST1002,48,26,One Year,DSL,No,Credit Card,109.45,2814.32,1
CUST1003,49,68,Two Year,Fiber Optic,No,Electronic Check,115.43,7783.17,0
CUST1004,39,24,Month-to-Month,DSL,No,Bank Transfer,119.1,2833.16,1
CUST1005,59,58,One Year,Fiber Optic,Yes,Bank Transfer,41.5,2367.84,0
CUST1006,60,15,One Year,No Internet,No,Mailed Check,64.46,970.94,1
CUST1007,21,24,Month-to-Month,No Internet,Yes,Mailed Check,96.68,2397.62,0
CUST1008,63,43,Month-to-Month,Fiber Optic,Yes,Electronic Check,43.96,1907.45,1
CUST1009,36,9,Month-to-Month,Fiber Optic,No,Electronic Check,28.92,224.55,1
CUST1010,69,40,Month-to-Month,DSL,No,Bank Transfer,74.34,3017.72,1
CUST1011,63,69,Month-to-Month,DSL,No,Bank Transfer,119.03,8180.01,1
CUST1012,34,49,Month-to-Month,Fiber Optic,Yes,Electronic Check,98.43,4777.73,0
CUST1013,41,8,One Year,DSL,Yes,Mailed Check,70.56,615.07,1
CUST1014,29,45,Two Year,DSL,Yes,Credit Card,60.96,2730.38,0
CUST1015,71,1,Two Year,No Internet,No,Electronic Check,111.85,96.05,1
CUST1016,47,56,One Year,Fiber Optic,No,Bank Transfer,83.86,4527.2,1
CUST1017,64,7,Month-to-Month,Fiber Optic,No,Bank Transfer,110.5,828.63,1
CUST1018,30,20,One Year,Fiber Optic,No,Electronic Check,102.59,2059.2,1
CUST1019,40,61,Two Year,No Internet,No,Credit Card,59.19,3570.89,0
CUST1020,34,45,Month-to-Month,Fiber Optic,No,Bank Transfer,115.55,5313.72,0
CUST1021,63,64,Two Year,Fiber Optic,No,Mailed Check,38.56,2433.55,0
CUST1022,50,70,Month-to-Month,No Internet,No,Mailed Check,83.68,5882.14,0
CUST1023,44,57,Month-to-Month,DSL,No,Mailed Check,38.84,2156.95,0
CUST1024,47,25,One Year,Fiber Optic,No,Bank Transfer,55.89,1400.46,1
CUST1025,32,56,Month-to-Month,Fiber Optic,Yes,Bank Transfer,62.56,3612.42,0
CUST1026,28,54,One Year,DSL,No,Bank Transfer,97.28,5244.43,0
CUST1027,53,62,Two Year,DSL,No,Mailed Check,112.93,6988.53,0
CUST1028,67,65,Month-to-Month,No Internet,No,Electronic Check,21.81,1402.26,0
CUST1029,51,35,Month-to-Month,Fiber Optic,No,Credit Card,49.61,1757.98,1
CUST1030,39,57,Two Year,DSL,No,Mailed Check,84.02,4891.33,0
CUST1031,39,39,One Year,Fiber Optic,No,Bank Transfer,55.48,2242.87,0
CUST1032,59,5,Month-to-Month,No Internet,No,Electronic Check,68.47,343.41,1
CUST1033,38,10,Two Year,Fiber Optic,No,Mailed Check,30.17,221.94,0
CUST1034,64,68,Two Year,Fiber Optic,Yes,Electronic Check,52.4,3502.13,0
CUST1035,26,49,One Year,Fiber Optic,No,Mailed Check,119.04,5782.78,0
CUST1036,31,2,Month-to-Month,Fiber Optic,No,Credit Card,36.84,23.34,1
CUST1037,66,65,Month-to-Month,Fiber Optic,Yes,Bank Transfer,50.38,3264.8,0
CUST1038,30,17,One Year,No Internet,No,Mailed Check,37.6,579.41,0
CUST1039,51,32,Month-to-Month,Fiber Optic,No,Bank Transfer,53.36,1759.11,1
CUST1040,32,45,One Year,Fiber Optic,No,Electronic Check,57.08,2619.16,0
CUST1041,30,24,Month-to-Month,No Internet,Yes,Mailed Check,106.23,2573.35,1
CUST1042,39,11,One Year,Fiber Optic,No,Mailed Check,75.36,969.2,1
CUST1043,70,36,One Year,Fiber Optic,No,Bank Transfer,67.93,2388.66,1
CUST1044,57,65,Month-to-Month,Fiber Optic,Yes,Electronic Check,45.3,2897.98,0
CUST1045,29,62,Month-to-Month,Fiber Optic,Yes,Electronic Check,58.96,3652.31,0
CUST1046,43,8,Two Year,Fiber Optic,Yes,Electronic Check,24.84,201.74,0
CUST1047,49,24,Month-to-Month,Fiber Optic,No,Electronic Check,31.95,692.25,1
CUST1048,53,22,Month-to-Month,DSL,No,Electronic Check,95.05,2067.14,1
CUST1049,37,36,Month-to-Month,DSL,No,Credit Card,28.91,1064.52,1
CUST1050,66,68,Month-to-Month,Fiber Optic,No,Credit Card,110.28,7605.34,1
CUST1051,21,20,One Year,Fiber Optic,Yes,Bank Transfer,79.12,1623.43,1
CUST1052,72,28,Two Year,DSL,Yes,Electronic Check,109.25,2918.92,0
CUST1053,63,5,One Year,Fiber Optic,No,Bank Transfer,66.46,296.52,1
CUST1054,19,20,One Year,No Internet,Yes,Credit Card,91.35,1863.42,0
CUST1055,29,34,Month-to-Month,Fiber Optic,No,Credit Card,96.26,3316.7,0
CUST1056,39,31,Two Year,No Internet,No,Electronic Check,68.6,2048.56,1
CUST1057,44,58,One Year,Fiber Optic,Yes,Bank Transfer,46.47,2674.29,0
CUST1058,44,32,Month-to-Month,Fiber Optic,No,Credit Card,83.77,2642.75,1
