StudentID,Gender,StudyHoursPerDay,AttendancePercent,SleepHoursPerDay,ParentalEducation,ExtracurricularActivities,InternetAccess,ExamScore
STU2000,Female,3.9,87.0,4.2,High School,No,Yes,74.7
STU2001,Male,3.8,83.0,7.3,Masters,Yes,Yes,74.8
STU2002,Male,6.1,60.6,5.5,High School,Yes,Yes,88.3
STU2003,Female,1.5,63.7,5.7,Bachelors,Yes,Yes,59.5
STU2004,Male,5.5,76.6,5.7,Bachelors,Yes,No,79.2
STU2005,Female,0.6,61.5,6.2,Masters,No,No,63.7
STU2006,Female,3.6,57.0,7.1,High School,No,Yes,72.9
STU2007,Male,3.5,72.0,5.9,High School,No,Yes,63.2
STU2008,Male,6.3,55.9,5.4,Masters,Yes,Yes,88.4
STU2009,Male,4.0,73.8,6.6,Masters,Yes,Yes,91.0
STU2010,Male,2.8,69.4,6.5,Bachelors,No,No,58.9
STU2011,Female,6.7,82.5,6.5,Bachelors,Yes,Yes,82.4
STU2012,Female,7.2,89.3,3.3,PhD,Yes,Yes,95.4
STU2013,Male,2.6,52.9,7.6,Bachelors,Yes,Yes,70.6
STU2014,Male,5.4,70.8,7.1,Bachelors,No,Yes,68.8
STU2015,Male,3.1,85.4,5.9,Bachelors,No,Yes,60.7
STU2016,Female,4.3,100.0,6.7,High School,No,Yes,90.9
STU2017,Female,4.5,76.2,8.7,High School,No,No,79.9
STU2018,Male,1.4,78.2,5.5,High School,No,No,60.1
STU2019,Female,4.1,67.6,6.3,Masters,Yes,Yes,76.8
STU2020,Female,1.9,100.0,7.4,Masters,No,Yes,69.7
STU2021,Male,2.0,70.6,5.6,Bachelors,Yes,Yes,76.7
STU2022,Female,3.1,82.4,7.2,Masters,Yes,Yes,70.7
STU2023,Female,0.0,87.0,5.1,Masters,Yes,Yes,62.8
STU2024,Male,1.0,58.3,7.0,Masters,No,Yes,82.1
STU2025,Male,4.5,57.1,5.2,High School,Yes,Yes,76.3
STU2026,Male,5.3,58.4,4.0,High School,Yes,Yes,65.4
STU2027,Female,5.7,75.2,5.5,High School,No,No,74.1
STU2028,Male,3.1,85.1,5.7,Bachelors,No,Yes,83.8
STU2029,Male,5.4,64.9,5.0,High School,No,Yes,81.2
STU2030,Female,7.1,99.5,6.7,Bachelors,Yes,Yes,98.1
